b04001_code,b04001_description,b04001_short,b03002_code,b03002_description,,b03002_short
HD01_VD01,Estimate; Total:,total,HD01_VD01,Estimate; Total:,,total
HD01_VD68,Estimate; Total: - Serbian,Serbian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD69,Estimate; Total: - Slavic,Slavic,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD70,Estimate; Total: - Slovak,Slovak,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD71,Estimate; Total: - Slovene,Slovene,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD72,Estimate; Total: - Soviet Union,Soviet Union,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD73,Estimate; Total: - Subsaharan African:,Subsaharan African,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD87,Estimate; Total: - Subsaharan African: - African,African,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD74,Estimate; Total: - Subsaharan African: - Cape Verdean,Cape Verdean,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD75,Estimate; Total: - Subsaharan African: - Ethiopian,Ethiopian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD76,Estimate; Total: - Subsaharan African: - Ghanaian,Ghanaian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD77,Estimate; Total: - Subsaharan African: - Kenyan,Kenyan,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD78,Estimate; Total: - Subsaharan African: - Liberian,Liberian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD79,Estimate; Total: - Subsaharan African: - Nigerian,Nigerian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD88,Estimate; Total: - Subsaharan African: - Other Subsaharan African,Other Subsaharan African,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD80,Estimate; Total: - Subsaharan African: - Senegalese,Senegalese,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD81,Estimate; Total: - Subsaharan African: - Sierra Leonean,Sierra Leonean,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD82,Estimate; Total: - Subsaharan African: - Somalian,Somalian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD83,Estimate; Total: - Subsaharan African: - South African,South African,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD84,Estimate; Total: - Subsaharan African: - Sudanese,Sudanese,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD85,Estimate; Total: - Subsaharan African: - Ugandan,Ugandan,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD86,Estimate; Total: - Subsaharan African: - Zimbabwean,Zimbabwean,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD89,Estimate; Total: - Swedish,Swedish,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD90,Estimate; Total: - Swiss,Swiss,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD91,Estimate; Total: - Turkish,Turkish,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD92,Estimate; Total: - Ukrainian,Ukrainian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD109,Estimate; Total: - Unclassified or not reported,Unclassified or not reported,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD93,Estimate; Total: - Welsh,Welsh,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD94,Estimate; Total: - West Indian (except Hispanic groups):,West Indian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD95,Estimate; Total: - West Indian (except Hispanic groups): - Bahamian,Bahamian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD96,Estimate; Total: - West Indian (except Hispanic groups): - Barbadian,Barbadian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD97,Estimate; Total: - West Indian (except Hispanic groups): - Belizean,Belizean,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD98,Estimate; Total: - West Indian (except Hispanic groups): - Bermudan,Bermudan,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD99,Estimate; Total: - West Indian (except Hispanic groups): - British West Indian,British West Indian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD100,Estimate; Total: - West Indian (except Hispanic groups): - Dutch West Indian,Dutch West Indian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD101,Estimate; Total: - West Indian (except Hispanic groups): - Haitian,Haitian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD102,Estimate; Total: - West Indian (except Hispanic groups): - Jamaican,Jamaican,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD106,Estimate; Total: - West Indian (except Hispanic groups): - Other West Indian,Other West Indian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD103,Estimate; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian,Trinidadian and Tobagonian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD104,Estimate; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander,U.S. Virgin Islander,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD105,Estimate; Total: - West Indian (except Hispanic groups): - West Indian,West Indian,HD01_VD04,Estimate; Not Hispanic or Latino: - Black or African American alone,,Black or African American
HD01_VD107,Estimate; Total: - Yugoslavian,Yugoslavian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
